voyageid,shipname,nationality,captain,date_dep,principal_place_of_slave_purchase,principal_place_of_slave_landing,principal_region_of_slave_landing,total_slaves_embarked,total_slaves_disembarked,percentmen,percentwomen,percentboy,percentgirl,percentchild,slave_deaths_during_middle_passage
46468,Aurora do Cabo,,"Sousa, Francisco José de",,Quilimane,Rio de Janeiro,Southeast Brazil,450,412,,,,,,
46469,NS da Piedade,Portugal,,,Mozambique,Rio de Janeiro,Southeast Brazil,119,82,,,,,,
46517, ,,,,Mozambique,Cienfuegos,Cuba,667,600,,,,,,
46518, ,,,,Mozambique,"Cuba, port unspecified",Cuba,626,563,,,,,,
46672,Ulisses,,"Ferreira, Joaquim",1812-06-15,Mozambique,Rio de Janeiro,Southeast Brazil,310,279,,,,,,
46680,Pilar,,"Ribeiro, João",,Mozambique,"Bahia, port unspecified",Bahia,406,356,,,,,,
46681, ,,,1718-??-??,Madagascar,"Bahia, port unspecified",Bahia,406,356,,,,,,
46720,Dois Corações Unidos,,"Siqueira, João Batista",1806-01-24,Mozambique,"Bahia, port unspecified",Bahia,390,353,,,,,,
46762,Maria Carlota,,,,Mozambique,,,515,421,,,,,,
46763,Árabe,,,,Quilimane,,,490,444,,,,,,
46806,Arrogante,,"Cruz, Antônio Martins da",,Mozambique,Montevideo,Rio de la Plata,280,250,,,,,,
46829,Dourado,,"Freitas, Manoel Lopes de; Santana, José de",1820-06-16,Mozambique,"Bahia, port unspecified",Bahia,273,250,,,,,,
46836,Flor da Bahia,,"Lopes, Manoel José",1820-05-05,Mozambique,"Bahia, port unspecified",Bahia,390,353,,,,,,
46838,Flor do Rio,,"Lopes, Manoel José",1819-04-05,Mozambique,"Bahia, port unspecified",Bahia,640,576,,,,,,64
46841,NS da Conceição Minerva,Portugal,,1819-07-14,Mozambique,"Bahia, port unspecified",Bahia,273,250,,,,,,
46843,Vigilante Guerreiro (a) Lêndea,,"Dias, Domingos Francisco",1820-10-31,Mozambique,"Bahia, port unspecified",Bahia,273,250,,,,,,
46868,Bom Caminho,,"Souza, João Brás de",1819-04-25,Quilimane,"Bahia, port unspecified",Bahia,355,322,,,,,,
46889,Jesus Maria José,Spain,"Sacetenea, José Antônio",1796-09-07,Cape of Good Hope,,,258,230,,,,,,
46891,Oceano,,"Batista, Rufino Pires",,Mozambique,"Bahia, port unspecified",Bahia,273,250,,,,,,
46892,S Marcos,Portugal,,1816-06-26,Quilimane,"Pernambuco, port unspecified",Pernambuco,390,353,,,,,,
46897,Bom Caminho,,"Dias, Domingos Francisco",1818-06-15,Quilimane,"Bahia, port unspecified",Bahia,446,370,,,,,,76
46907,Manuela (a) Sunny South,,,,Mozambique,Ile de France,Southeast Africa and Indian Ocean islands,544,445,,,,,,
47063,Americana Portuguesa,Portugal,"Gervásio, Joaquim",1814-09-23,Mozambique,"Bahia, port unspecified",Bahia,390,353,,,,,,
47081,Flor da Bahia,,"Gomes, José Martins",1816-04-24,Mozambique,"Bahia, port unspecified",Bahia,390,353,,,,,,
47099,Bom Jesus de Além,,"Silveira, José Inácio da",1819-06-12,Mozambique,"Pernambuco, port unspecified",Pernambuco,670,490,,,,,,180
47100,Bom Jesus de Além,,"Machado, Teotônio Vicente",1820-04-18,Mozambique,"Pernambuco, port unspecified",Pernambuco,390,353,,,,,,
47113,Esperança,,"Bastos, Bernardino José de",1818-09-11,Quilimane,"Pernambuco, port unspecified",Pernambuco,390,353,,,,,,
